               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039601,            0.011395,            0.014049,             0.59764,                0.25,             0.30794,             0.18243,            0.037673,            0.010608,            0.011102,            0.009307,            0.009307,            0.009307
                  37,            0.042188,            0.011324,            0.010143,             0.69493,             0.66667,             0.55168,             0.21863,            0.035554,           0.0088402,              0.0122,           0.0092872,           0.0092872,           0.0092872
                  38,            0.045678,            0.013493,            0.013553,             0.62137,                0.75,             0.70739,             0.44114,            0.023213,           0.0078369,            0.014885,           0.0092674,           0.0092674,           0.0092674
                  39,            0.041379,            0.010963,            0.010128,             0.63687,             0.74976,             0.73438,             0.33471,            0.025292,           0.0073322,            0.028398,           0.0092476,           0.0092476,           0.0092476
                  40,            0.039836,            0.010281,            0.016253,             0.31801,                0.75,             0.60647,             0.17507,             0.04048,           0.0062693,            0.028164,           0.0092278,           0.0092278,           0.0092278
                  41,            0.043379,            0.011072,            0.014929,             0.65115,             0.82816,             0.74317,             0.36909,            0.023172,           0.0058136,            0.025664,            0.009208,            0.009208,            0.009208
                  42,             0.03944,            0.012127,            0.010009,             0.75735,             0.83333,             0.80463,             0.45356,            0.017212,           0.0057602,            0.020783,           0.0091882,           0.0091882,           0.0091882
                  43,            0.035144,            0.010764,            0.018783,             0.75501,             0.77702,              0.8465,             0.41045,            0.020072,           0.0051834,            0.021012,           0.0091684,           0.0091684,           0.0091684
                  44,            0.042001,            0.012264,            0.013261,              0.6355,             0.75996,             0.78539,             0.45058,            0.027811,           0.0046894,            0.023763,           0.0091486,           0.0091486,           0.0091486
                  45,             0.04705,            0.010515,            0.012704,             0.59415,             0.80636,             0.80235,             0.52732,            0.020534,           0.0047135,            0.030563,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039324,            0.011108,            0.012982,             0.67219,             0.89159,             0.88583,             0.53861,            0.020584,           0.0044307,            0.023095,            0.009109,            0.009109,            0.009109
                  47,            0.038638,             0.01101,            0.014176,             0.44813,             0.89991,             0.91105,             0.53367,            0.020613,           0.0044465,            0.026307,           0.0090892,           0.0090892,           0.0090892
                  48,            0.038527,            0.011246,           0.0087745,              0.7674,             0.64595,              0.9125,             0.63064,            0.022622,           0.0046318,               0.031,           0.0090694,           0.0090694,           0.0090694
                  49,            0.040165,            0.011196,            0.013158,             0.67571,             0.49271,             0.63075,             0.27083,            0.028752,           0.0045958,            0.032411,           0.0090496,           0.0090496,           0.0090496
                  50,            0.030106,            0.010385,           0.0067083,             0.80826,             0.64058,             0.75438,             0.30105,            0.027595,             0.00457,            0.033977,           0.0090298,           0.0090298,           0.0090298
                  51,            0.035424,            0.011151,            0.013863,             0.70774,             0.66667,             0.65825,             0.36703,            0.025465,           0.0048153,            0.027001,             0.00901,             0.00901,             0.00901
                  52,            0.045032,            0.010491,           0.0094215,             0.59067,             0.83225,             0.70671,             0.46116,            0.017696,           0.0046739,             0.02264,           0.0089902,           0.0089902,           0.0089902
                  53,            0.042755,             0.01273,           0.0094461,             0.61739,             0.83333,             0.79113,             0.36646,            0.023278,            0.004765,            0.019046,           0.0089704,           0.0089704,           0.0089704
                  54,            0.038463,           0.0090733,            0.011158,             0.61402,             0.83333,             0.72359,             0.39875,             0.02231,           0.0051193,            0.015569,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032464,            0.011049,           0.0076515,             0.62002,             0.83333,             0.78586,             0.44592,            0.023944,           0.0048101,            0.015069,           0.0089308,           0.0089308,           0.0089308
                  56,            0.031826,            0.010562,           0.0060283,             0.67111,             0.66667,             0.69668,             0.23877,            0.033406,           0.0047616,            0.014533,            0.008911,            0.008911,            0.008911
                  57,            0.041325,           0.0088081,           0.0064678,             0.69619,             0.82317,             0.77814,             0.31309,            0.027701,           0.0049092,             0.01511,           0.0088912,           0.0088912,           0.0088912
                  58,            0.043587,            0.010039,           0.0070555,             0.74167,             0.81597,             0.80938,             0.40615,            0.022773,           0.0047398,            0.015469,           0.0088714,           0.0088714,           0.0088714
                  59,            0.040731,            0.010439,           0.0086037,             0.80697,              0.8321,             0.86155,             0.59676,            0.016234,           0.0041701,            0.016244,           0.0088516,           0.0088516,           0.0088516
                  60,            0.030486,           0.0098479,           0.0076659,             0.92183,             0.83333,              0.9125,             0.39719,            0.023704,           0.0037292,            0.016737,           0.0088318,           0.0088318,           0.0088318
                  61,            0.035816,            0.010204,           0.0089339,             0.66974,             0.91313,             0.95375,             0.57913,            0.017795,           0.0037992,             0.01687,            0.008812,            0.008812,            0.008812
                  62,            0.034662,            0.009838,           0.0053291,             0.82234,             0.83333,             0.97143,             0.43675,            0.026233,           0.0039394,            0.017247,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034222,           0.0089699,            0.008254,             0.75731,             0.83333,             0.84725,             0.44562,            0.024926,           0.0051605,            0.016421,           0.0087724,           0.0087724,           0.0087724
                  64,             0.03708,           0.0097651,            0.010313,             0.70122,             0.83333,             0.90942,             0.47213,            0.023782,           0.0049008,            0.020327,           0.0087526,           0.0087526,           0.0087526
                  65,            0.041578,            0.010891,           0.0067709,             0.72825,             0.83333,             0.85486,             0.47839,            0.024055,           0.0047245,            0.021003,           0.0087328,           0.0087328,           0.0087328
